Integration took 0.914924 ms
const observer: 836 steps. final: 	4.9964	0.465302
Time	Error	x	y	theta	v	w	lambda	xd	yd
0.0000	2.2361	1.0000	-2.0000	0.0000	0.0000	0.0000	0.1000	0.0000	0.0000
0.1000	2.0468	1.0036	-1.8361	1.5326	1.8598	-1.0980	0.1000	0.1000	0.0005
0.2000	1.8507	1.0161	-1.6592	1.4710	1.6948	-0.5805	0.1000	0.2000	0.0019
0.3000	1.6735	1.0370	-1.4982	1.4109	1.5558	-0.6221	0.1000	0.3000	0.0042
0.4000	1.5131	1.0654	-1.3515	1.3468	1.4367	-0.6586	0.1000	0.4000	0.0075
0.5000	1.3681	1.1006	-1.2176	1.2794	1.3359	-0.6879	0.1000	0.5000	0.0117
0.6000	1.2370	1.1419	-1.0952	1.2095	1.2514	-0.7077	0.1000	0.6000	0.0168
0.7000	1.1183	1.1889	-0.9831	1.1382	1.1817	-0.7165	0.1000	0.7000	0.0227
0.8000	1.0110	1.2408	-0.8803	1.0666	1.1251	-0.7136	0.1000	0.8000	0.0295
0.9000	0.9139	1.2974	-0.7858	0.9959	1.0798	-0.6993	0.1000	0.9000	0.0371
1.0000	0.8260	1.3581	-0.6988	0.9271	1.0443	-0.6748	0.1000	1.0000	0.0456
1.1000	0.7466	1.4226	-0.6185	0.8612	1.0170	-0.6421	0.1000	1.1000	0.0548
1.2000	0.6747	1.4906	-0.5443	0.7988	0.9965	-0.6034	0.1000	1.2000	0.0647
1.3000	0.6097	1.5616	-0.4755	0.7406	0.9817	-0.5611	0.1000	1.3000	0.0753
1.4000	0.5509	1.6354	-0.4116	0.6867	0.9713	-0.5174	0.1000	1.4000	0.0865
1.5000	0.4978	1.7117	-0.3522	0.6371	0.9644	-0.4739	0.1000	1.5000	0.0984
1.6000	0.4498	1.7903	-0.2967	0.5918	0.9603	-0.4320	0.1000	1.6000	0.1108
1.7000	0.4063	1.8710	-0.2449	0.5506	0.9582	-0.3925	0.1000	1.7000	0.1237
1.8000	0.3671	1.9536	-0.1964	0.5132	0.9577	-0.3561	0.1000	1.8000	0.1370
1.9000	0.3316	2.0378	-0.1508	0.4793	0.9583	-0.3229	0.1000	1.9000	0.1508
2.0000	0.2995	2.1236	-0.1079	0.4485	0.9597	-0.2931	0.1000	2.0000	0.1649
2.1000	0.2705	2.2107	-0.0675	0.4206	0.9616	-0.2666	0.1000	2.1000	0.1793
2.2000	0.2443	2.2991	-0.0293	0.3951	0.9639	-0.2431	0.1000	2.2000	0.1939
2.3000	0.2205	2.3886	0.0068	0.3719	0.9663	-0.2226	0.1000	2.3000	0.2087
2.4000	0.1991	2.4791	0.0410	0.3505	0.9688	-0.2047	0.1000	2.4000	0.2237
2.5000	0.1797	2.5706	0.0734	0.3308	0.9712	-0.1892	0.1000	2.5000	0.2387
2.6000	0.1622	2.6628	0.1041	0.3126	0.9736	-0.1759	0.1000	2.6000	0.2537
2.7000	0.1464	2.7558	0.1333	0.2956	0.9758	-0.1645	0.1000	2.7000	0.2686
2.8000	0.1320	2.8495	0.1610	0.2797	0.9779	-0.1548	0.1000	2.8000	0.2834
2.9000	0.1191	2.9438	0.1873	0.2646	0.9797	-0.1467	0.1000	2.9000	0.2980
3.0000	0.1074	3.0386	0.2122	0.2503	0.9815	-0.1399	0.1000	3.0000	0.3124
3.1000	0.0968	3.1339	0.2359	0.2366	0.9830	-0.1343	0.1000	3.1000	0.3266
3.2000	0.0872	3.2297	0.2583	0.2234	0.9843	-0.1297	0.1000	3.2000	0.3403
3.3000	0.0786	3.3259	0.2795	0.2106	0.9855	-0.1259	0.1000	3.3000	0.3537
3.4000	0.0707	3.4224	0.2995	0.1982	0.9865	-0.1230	0.1000	3.4000	0.3666
3.5000	0.0637	3.5193	0.3184	0.1860	0.9874	-0.1206	0.1000	3.5000	0.3790
3.6000	0.0573	3.6165	0.3361	0.1740	0.9881	-0.1188	0.1000	3.6000	0.3909
3.7000	0.0515	3.7139	0.3526	0.1622	0.9887	-0.1174	0.1000	3.7000	0.4022
3.8000	0.0463	3.8116	0.3680	0.1505	0.9893	-0.1164	0.1000	3.8000	0.4128
3.9000	0.0415	3.9095	0.3823	0.1389	0.9897	-0.1156	0.1000	3.9000	0.4227
4.0000	0.0373	4.0077	0.3954	0.1274	0.9901	-0.1151	0.1000	4.0000	0.4319
4.1000	0.0335	4.1060	0.4074	0.1159	0.9905	-0.1146	0.1000	4.1000	0.4404
4.2000	0.0300	4.2044	0.4183	0.1045	0.9908	-0.1143	0.1000	4.2000	0.4480
4.3000	0.0269	4.3030	0.4281	0.0931	0.9911	-0.1139	0.1000	4.3000	0.4548
4.4000	0.0241	4.4018	0.4368	0.0817	0.9914	-0.1135	0.1000	4.4000	0.4608
4.5000	0.0216	4.5006	0.4443	0.0704	0.9917	-0.1131	0.1000	4.5000	0.4659
4.6000	0.0194	4.5996	0.4507	0.0591	0.9920	-0.1125	0.1000	4.6000	0.4701
4.7000	0.0175	4.6987	0.4560	0.0479	0.9923	-0.1118	0.1000	4.7000	0.4734
4.8000	0.0157	4.7978	0.4602	0.0367	0.9927	-0.1110	0.1000	4.8000	0.4758
4.9000	0.0142	4.8971	0.4633	0.0257	0.9931	-0.1099	0.1000	4.9000	0.4772
5.0000	0.0129	4.9964	0.4653	0.0148	0.9936	-0.1086	0.1000	5.0000	0.4777
